Records sans numéro : 
"Lemoine";"Emmeline";"";"emmeline.lemoine@example.org";"00-55-51-64-64"
"Dimont";"Micchel";"";"michel_dimont@example.org";"+33000555801"
Pour le numéro "+33045559744" :
"Barnier";"Élie";"Élie";"eliebarnier@example.net";"+33045559744"
"Barnier";"Élie";"";"eliebarnier@example.net";"+33045559744"
"BARNIER";"ÉLIE";"";"elie.barnier@example.com";"+33045559744"
"Barnier";"Élie";"";"elie.barnier@example.com";"+33045559744"
Pour le numéro "+33000555648" :
"Balzac";"Yvonne";"Barracuda";"yvonnebalzac@example.com";"+33000555648"
"balzac";"yvonne";"Barracuda";"yvonnebalzac@example.com";"+33000555648"

